pergunta,resposta,categoria
"O que é o Unique Day?","É nossa consulta exclusiva onde você tem uma avaliação completa com o cirurgião plástico, utilizando o Método CPI. O valor é R$ 750 e é abatido do procedimento.","Consultas"
"Quanto custa o Unique Day?","R$ 750 para consulta com cirurgião Unique, R$ 600 com indicação de influenciadora, ou R$ 1.270 com Dr. André Oliveira.","Consultas"
"O valor da consulta é abatido?","Sim! O valor do Unique Day é integralmente abatido do valor do procedimento quando você decide realizar.","Consultas"
"O que é o Método CPI?","Cirurgia Plástica Integrativa - nosso método exclusivo que prepara seu corpo antes, durante e depois da cirurgia para melhores resultados e recuperação mais rápida.","Método CPI"
"Qual a diferença do CPI?","O Método CPI inclui protocolos de preparação pré-cirúrgica, acompanhamento durante e pós-operatório completo, resultando em menos complicações e recuperação mais rápida.","Método CPI"
"Botox dói?","Não. Usamos agulhas muito finas e técnicas que minimizam qualquer desconforto. A maioria das pacientes descreve como uma sensação de pequenas picadinhas.","Procedimentos"
"Quanto tempo dura o Botox?","Em média 3-4 meses. Pacientes que fazem manutenção regular tendem a ter resultados mais duradouros ao longo do tempo.","Procedimentos"
"Quando posso ver o resultado do Botox?","O resultado começa a aparecer em 3-5 dias e atinge o ápice em 15 dias.","Procedimentos"
"Como funciona a Lipo HD?","A Lipoaspiração HD (Alta Definição) esculpe o corpo removendo gordura localizada e definindo a musculatura. Na Unique, utilizamos a técnica combinada com o Método CPI.","Procedimentos"
"Qual o tempo de recuperação da Lipo?","Depende da extensão. Em média, 7-14 dias para atividades leves e 30-45 dias para atividades físicas intensas.","Procedimentos"
"Vocês fazem cirurgia combinada?","Sim! Oferecemos cirurgias combinadas como Lipo + Abdominoplastia ou Lipo + Prótese de Silicone, sempre com avaliação individual.","Procedimentos"
"Posso parcelar?","Sim! Trabalhamos com diversas formas de pagamento e parcelamento. Consulte condições específicas na sua avaliação.","Pagamento"
"Vocês aceitam plano de saúde?","Procedimentos estéticos não são cobertos por plano de saúde, mas oferecemos condições especiais de pagamento.","Pagamento"
"Tem desconto à vista?","Consulte nossas condições especiais para pagamento à vista durante sua avaliação no Unique Day.","Pagamento"
"A clínica é segura?","A Unique possui todas as certificações necessárias, equipe médica altamente qualificada e utilizamos o Método CPI que aumenta a segurança dos procedimentos.","Segurança"
"Quem são os cirurgiões?","Nossa equipe é formada por cirurgiões plásticos certificados pela SBCP (Sociedade Brasileira de Cirurgia Plástica), liderados pelo Dr. André Oliveira.","Equipe"
"Onde fica a clínica?","A Unique Plástica Avançada está localizada em [ENDEREÇO]. Temos estrutura completa para consultas e procedimentos.","Localização"
"Fazem consulta online?","Sim! Oferecemos pré-consultas online de 40 minutos para sua conveniência.","Consultas"
"O que levar na consulta?","Leve um documento com foto e, se tiver, exames recentes. Vista roupa confortável.","Consultas"
"Posso levar acompanhante?","Sim! Inclusive encorajamos que leve alguém de confiança, especialmente para procedimentos cirúrgicos.","Consultas"
"Quanto tempo antes agendar cirurgia?","Depende da sua preparação. Com o Método CPI, pacientes prontas podem operar em semanas. Outras podem precisar de 1-4 meses de preparo.","Cirurgias"
"Preciso fazer exames antes?","Sim. Após a avaliação, orientamos quais exames são necessários para sua segurança.","Cirurgias"
"Vocês fazem acompanhamento pós?","Sim! O acompanhamento pós-operatório é parte essencial do Método CPI. Temos protocolos específicos de cuidados.","Pós-Operatório"
